number,name,tags,category,url
17,Canteremo d’un solo cor,"Joseph Smith, Restaurazione, Scritture, raduno d’Israele, sacerdozio",Restaurazione,https://assets.churchofjesuschrist.org/a0/cf/a0cf3212b689f707e985a72f14195d03e46ea85a/now_well_sing_with_one_accord_accompaniment_eng.mp3
18,Il mattino era sereno,"Gesù Cristo, Joseph Smith, Padre Celeste, Restaurazione, Scritture, amore, battesimo, famiglia, fede, nature, opera missionaria, preghiera, sacerdozio, templi, tentazione",Restaurazione,https://assets.churchofjesuschrist.org/d8/82/d8824361efaa77bd5114bedea7126f40bc560e42/joseph_smiths_first_prayer_accompaniment_eng.mp3
19,Lode all’uomo,"Joseph Smith, Restaurazione, lode, profeti",Restaurazione,https://assets.churchofjesuschrist.org/38/f5/38f52dce94323130e1fee8b03f8acfb821e49e15/praise_to_the_man_accompaniment_eng.mp3
20,Un povero viandante,"Gesù Cristo, compassione, discepolato, ministero, servizio",Restaurazione,https://assets.churchofjesuschrist.org/83/7a/837af3583261221bd776faef0ce7b5db9fe3d2ee/a_poor_wayfaring_man_of_grief_accompaniment_eng.mp3
21,"Santi, venite","Gesù Cristo, avversità, coraggio, fede, gioia, grazia, lode, perseverare fino alla fine, piano di salvezza, pionieri, prove, sacrificio, speranza",Restaurazione,https://assets.churchofjesuschrist.org/da/7b/da7b733762af4ef874b7a25c250a085c3f0df7d6/come_come_ye_saints_accompaniment_eng.mp3
22,Guidami alla vita eterna,"Vangelo, guida, impegno, preghiera, servizio, vita eterna",Restaurazione,https://assets.churchofjesuschrist.org/a3/55/a35536578546701aca5896ec3c4cebeaf2b7bc2b/lead_me_into_life_eternal_accompaniment_eng.mp3
23,Alte vette lassù,"Sion, pionieri",Restaurazione,https://assets.churchofjesuschrist.org/9f/24/9f24252d6157a295b345ebc57ed01b73ad8c5a07/o_ye_mountains_high_accompaniment_eng.mp3
24,Per la Patria,"gratitudine, nature, pionieri",Restaurazione,https://assets.churchofjesuschrist.org/61/8a/618a2c1a500bc4ac76a52c4834aaff930510ff29/for_the_strength_of_the_hills_accompaniment_eng.mp3
25,Alte verso il ciel leviam,"chiusura, gratitudine, lode",Restaurazione,https://assets.churchofjesuschrist.org/a2/f4/a2f45b4993f888e251c768b5937e73dbad719262/raise_your_voices_to_the_lord_accompaniment_eng.mp3
26,"Ridestati, o Sion","Sion, opera missionaria, pazienza, perseverare fino alla fine, prove, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/e0/a7/e0a7548bf923ae53d0086f3668ac54f8d3eb4107/arise_o_glorious_zion_accompaniment_eng.mp3
27,O santi di Sion,"Gesù Cristo, Seconda Venuta, Sion, opera missionaria, preparazione, sacerdozio",Restaurazione,https://assets.churchofjesuschrist.org/5b/37/5b37c9f7a4b6b69214a247c5feb3012cb2f6ad0d/o_saints_of_zion_accompaniment_eng.mp3
28,Salve al mattino di Sion,"Millennio, Restaurazione, Sion, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/f2/38/f2380dd02eeb8a4e0503cc5e930910ad6790f5cd/hail_to_the_brightness_of_zions_glad_morning_accompaniment_eng.mp3
29,Là sui monti s’erge Sion,"Sion, conforto, prove",Restaurazione,https://assets.churchofjesuschrist.org/96/fc/96fc3535e523b219604f1fc42e3ab27d19e8ed33/zion_stands_with_hills_surrounded_accompaniment_eng.mp3
30,Bella Sion,"Scritture, battesimo, famiglia, fede, opera missionaria, sacerdozio, templi",Restaurazione,https://assets.churchofjesuschrist.org/82/e5/82e597bfd2b27d03ee34e45741fa499748649c8e/beautiful_zion_built_above_accompaniment_eng.mp3
31,Esultiamo,"Gesù Cristo, Restaurazione, gioia, verità",Restaurazione,https://assets.churchofjesuschrist.org/41/c4/41c4377348e9cb2a6deb60c1906e808b868f58e9/come_rejoice_accompaniment_eng.mp3
32,"Sorgi presto, dì promesso","Gesù Cristo, Millennio, Seconda Venuta, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/69/07/690737f341df953ed484175fdb0ed5a511292656/come_thou_glorious_day_of_promise_accompaniment_eng.mp3
33,L’aurora vien lesta,"Gesù Cristo, Millennio, pace, rendere il culto, templi, unità",Restaurazione,https://assets.churchofjesuschrist.org/04/6f/046f7f2cc133f660dd29843d239cbdfc2ed536e8/the_day_dawn_is_breaking_accompaniment_eng.mp3
34,"Deh, vieni, o Re dei re","Gesù Cristo, Millennio, lode, pace, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/f2/b6/f2b61c282b4e0cab847d92198ce544fe30a6b831/come_o_thou_king_of_kings_accompaniment_eng.mp3
35,"Forza, figli del Signor","Gesù Cristo, Millennio, amore, fede, figlio di Dio, gioia, lode, musica, pace, rendere il culto, unità",Restaurazione,https://assets.churchofjesuschrist.org/79/c9/79c983510d9534422bc052cd3008adc82ed0c383/come_ye_children_of_the_lord_accompaniment_eng.mp3
36,O creature del Signor,"Creator, Gesù Cristo, gratitudine, lode, nature",Lode e ringraziamento,https://media2.ldscdn.org/assets/music/hymns/2001-01-0620-all-creatures-of-our-god-and-king-instrumental-256k-eng.mp3
37,Per la terra tutta in fior,"Creazione, amici, amore, famiglia, gioia, gratitudine, lode, nature",Lode e ringraziamento,https://assets.churchofjesuschrist.org/df/28/df28b772e0141fc8324ad62c8bbc13ca1cadc71d/for_the_beauty_of_the_earth_accompaniment_eng.mp3
38,Qual forte rocca è il Signor,"conforto, lode, rendere il culto",Lode e ringraziamento,https://assets.churchofjesuschrist.org/00/f4/00f41b89b50707fdaf539e509e8d2a642479ec55/a_mighty_fortress_is_our_god_accompaniment_eng.mp3
39,Gloria al Signor lassù!,"Gesù Cristo, amore, grazia, lode, musica, saggezza",Lode e ringraziamento,https://assets.churchofjesuschrist.org/38/65/38650e196be18dd0d6b8c6607b2cb9c7f04fd9cd/glory_to_god_on_high_accompaniment_eng.mp3
40,O Condottiero d’Israel,,Lode e ringraziamento,
41,"A Te, Signor",,Lode e ringraziamento,
42,"Sian gloria, onore e lode","Gesù Cristo, Pasqua, famiglia, lode, musica",Lode e ringraziamento,https://assets.churchofjesuschrist.org/6f/d5/6fd52d850cf97842f8a8b7a8035739e0e50d785c/all_glory_laud_and_honor_accompaniment_eng.mp3
43,È Cristo il nostro Re!,"Gesù Cristo, gioia, gratitudine, lode, rendere il culto",Lode e ringraziamento,https://assets.churchofjesuschrist.org/69/85/698570552c64f8761dd7eb0512a139405bb5a703/rejoice_the_lord_is_king_accompaniment_eng.mp3
44,Mandate voci di gioia all’Eterno,,Lode e ringraziamento,
45,Lodiamo il nostro gran Signor,"Gesù Cristo, lode, misericordia, musica",Lode e ringraziamento,https://assets.churchofjesuschrist.org/7d/1e/7d1ed28c785f1b3efbdbb64ee039162b311d5156/sing_praise_to_him_accompaniment_eng.mp3
46,Lode all’Altissimo,"Creator, Gesù Cristo, amore, gioia, lode, misericordia, musica, rendere il culto",Lode e ringraziamento,https://assets.churchofjesuschrist.org/d0/78/d078400de0558b246707f88990c402ca30585534/praise_to_the_lord_the_almighty_accompaniment_eng.mp3
47,Onnipotente è il braccio del Signor,"Gesù Cristo, Padre Celeste, gratitudine, grazia, guida, lode, pace",Lode e ringraziamento,https://assets.churchofjesuschrist.org/59/e0/59e0b309e7fcd5e1ec141dfbb8db7cb30a0fa5d1/god_of_our_fathers_whose_almighty_hand_accompaniment_eng.mp3
48,Avanti andiam,"Scritture, amore, exaltation, fede, perseverare fino alla fine, speranza",Lode e ringraziamento,https://assets.churchofjesuschrist.org/3d/44/3d4496417f7daca0823a47b264273f4f45a1adfa/press_forward_saints_accompaniment_eng.mp3
49,Un fermo sostegno,"Gesù Cristo, Joseph Smith, Scritture, amore, avversità, battesimo, famiglia, fede, grazia, impegno, opera missionaria, sacerdozio, speranza, templi",Lode e ringraziamento,https://media2.ldscdn.org/assets/music/hymns/2001-01-0850-how-firm-a-foundation-instrumental-192k-eng.mp3
50,O mio Signor,"Gesù Cristo, grazia, lode, nature, rendere il culto",Lode e ringraziamento,
51,"Guidaci, o grande Geova","Gesù Cristo, Seconda Venuta, fede, gratitudine, grazia, lode, misericordia, prove",Lode e ringraziamento,https://media2.ldscdn.org/assets/music/hymns/2001-01-0830-guide-us-o-thou-great-jehovah-instrumental-192k-eng.mp3
52,Il divino amor,"Padre Celeste, amore, nature",Lode e ringraziamento,https://assets.churchofjesuschrist.org/04/87/0487fd55fd88c3cf1e928d82e8028018f8d69761/god_is_love_accompaniment_eng.mp3
53,"Sei luce, Signor","Gesù Cristo, Spirito Santo, fede, gioia, grazia, guida, lode, misericordia, musica, salvation",Lode e ringraziamento,https://assets.churchofjesuschrist.org/0f/a4/0fa43afcec6b19fcfe2e8cf26d20e1e14c3b54b0/jesus_es_mi_luzmusica_solo.mp3
54,Preghiera di ringraziamento,"gratitudine, lode, preghiera",Lode e ringraziamento,https://assets.churchofjesuschrist.org/8d/6e/8d6e59ff32504c822cda6eadc3625875b4df70c2/prayer_of_thanksgiving_music_only.mp3
55,"Grati, o santi, in cor cantiam","gratitudine, lode",Lode e ringraziamento,https://assets.churchofjesuschrist.org/6b/bc/6bbc03a331fc0c88a6d12e598df922866ca2fdc9/come_ye_thankful_people_accompaniment_eng.mp3
56,Santo è il Signor,,Lode e ringraziamento,
57,D’ogni era Tu il Signor,"Espiazione di Gesù Cristo, Gesù Cristo, fede, grazia, preghiera, salvation",Preghiera e supplica,https://assets.churchofjesuschrist.org/cd/58/cd58356c5ba006dfe74b4c313014a6b7d6fc7fdd/rock_of_ages_accompaniment_eng.mp3
58,"Rischiara, Padre, questo mio sentier","Gesù Cristo, conforto, fede, grazia, guida, preghiera, prove",Preghiera e supplica,https://assets.churchofjesuschrist.org/07/46/0746b52e697d4e8948972bc8065c11691b2167cb/lead_kindly_light_accompaniment_eng.mp3
59,Bisogno ho di Te,"Gesù Cristo, conforto, gratitudine, grazia, lode, preghiera, tentazione",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-0980-i-need-thee-every-hour-instrumental-192k-eng.mp3
60,"Sempre vicino a Te, dolce Signor","Gesù Cristo, Padre Celeste, conforto, guida, lode, misericordia, pace, preghiera",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-1000-nearer-my-god-to-thee-instrumental-192k-eng.mp3
61,Guidami a Te,"Gesù Cristo, conforto, grazia, guida, prove",Preghiera e supplica,https://assets.churchofjesuschrist.org/60/72/6072e60fc9f5f42ebc05a488307af39e321699f5/guide_me_to_thee_accompaniment_eng.mp3
62,"Dammi, o Signor",,Preghiera e supplica,
63,"Oh, qual furente tempesta","Gesù Cristo, avversità, conforto, fede, gioia, grazia, lode, obbedienza, pace, prove, speranza, tentazione",Preghiera e supplica,https://assets.churchofjesuschrist.org/89/79/8979c4f784800655e13f8d1219c8c8bad3994d10/master_the_tempest_is_raging_accompaniment_eng.mp3
64,"O accetta, nostro Padre","Spirito Santo, risurrezione, umiltà",Preghiera e supplica,https://assets.churchofjesuschrist.org/1c/75/1c752a07a335ff7f79e98f86813b7cc73c7f4e43/lord_accept_our_true_devotion_accompaniment_eng.mp3
65,"T’amo tanto, buon Gesù","Gesù Cristo, conforto, fede, guida, preghiera, prove",Preghiera e supplica,https://assets.churchofjesuschrist.org/34/9a/349a83aa9200454cb13af80946ad3d55e3700c81/jesus_lover_of_my_soul_accompaniment_eng.mp3
66,Benigno Pastore,"Gesù Cristo, amore, grazia, guida, pace, shepherd",Preghiera e supplica,https://assets.churchofjesuschrist.org/31/81/31810e1b5086a34b36fe9b58755712733f1af3ce/the_lord_is_my_shepherd_accompaniment_eng.mp3
67,Amar Gesù,"Espiazione di Gesù Cristo, Gesù Cristo, Padre Celeste, amore, gioia, lode, obbedienza, preghiera, speranza, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/eb/e5/ebe5dfe95410cf62639818061200fc293401ec02/our_saviors_love_accompaniment_eng.mp3
68,Seguitemi,"Gesù Cristo, battesimo, discepolato, esempio, exaltation, fede, impegno, obbedienza, piano di salvezza, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/ec/02/ec02808b758f7e0b7b1601d8900e028c75b39fc8/come_follow_me_accompaniment_eng.mp3
69,Venite a Cristo,"Gesù Cristo, amore, conforto, fede, grazia, guida, pace, pentimento, preghiera, prove",Preghiera e supplica,https://assets.churchofjesuschrist.org/a6/ea/a6eae5803625f1a64cc4e6b20f899bf949677539/come_unto_jesus_accompaniment_eng.mp3
70,Se aspro appare il tuo sentier,"Gesù Cristo, Seconda Venuta, avversità, prove, risurrezione, speranza",Preghiera e supplica,https://assets.churchofjesuschrist.org/aa/ef/aaef9574e85e31a344231dac5ae11a3d45e98000/aunque_colmados_de_pesarmusica_solo.mp3
71,Noi che il Signore amiam,"musica, rendere il culto",Preghiera e supplica,https://assets.churchofjesuschrist.org/2f/0d/2f0d8333fc8c84e156b653d4311e207e754fcf19/venid_los_que_a_dios_amaismusica_solo.mp3
72,Anima mia,"Gesù Cristo, conforto, grazia, pace, prove",Preghiera e supplica,
73,"Oh, quanto dolce","Espiazione di Gesù Cristo, Gesù Cristo, Padre Celeste, amore, comandamenti, conforto, fede, grazia, lode, rendere il culto, sacramento",Preghiera e supplica,https://assets.churchofjesuschrist.org/a5/db/a5db2302859ee17b049bf8a54107cae692ba1058/how_gentle_gods_commands_accompaniment_eng.mp3
74,La fede si rafforzerà,"conforto, fede, pace, perseverare fino alla fine, umiltà",Preghiera e supplica,https://assets.churchofjesuschrist.org/bf/42/bf42154d37f5bde6175cd805eeb9548823e5c5c5/when_faith_endures_accompaniment_eng.mp3
75,Dove trovar potrò pace e conforto?,"Gesù Cristo, amici, amore, avversità, conforto, fede, gentilezza, grazia, pace, preghiera, prove, speranza",Preghiera e supplica,https://assets.churchofjesuschrist.org/19/b8/19b84203a56ccca532b654cb799222180007a833/where_can_i_turn_for_peace_accompaniment_eng.mp3
76,Sii umile,"Gesù Cristo, amore, exaltation, guida, preghiera, servizio, umiltà, vita eterna",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-1300-be-thou-humble-instrumental-192k-eng.mp3
77,Più forza Tu dammi,"Gesù Cristo, discepolato, fede, gioia, gratitudine, grazia, pazienza, pentimento, preghiera, servizio, speranza, spiritualità, umiltà",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-1310-more-holiness-give-me-instrumental-192k-eng.mp3
78,Dio è nel Suo santo tempio,"Parola di Saggezza, dignità, moralità, rendere il culto, riverenza, spiritualità, storia familiare, templi",Preghiera e supplica,https://assets.churchofjesuschrist.org/e3/4c/e34c7c1e3e39611c1a0c60a91cb53b36500b0d34/god_is_in_his_holy_temple_accompaniment_eng.mp3
79,Padre del cielo,"Padre Celeste, conforto, pace, rendere il culto",Preghiera e supplica,https://assets.churchofjesuschrist.org/00/44/0044df2923ab3db1b196e1c0a30c888c180ff708/father_in_heaven_accompaniment_eng.mp3
80,"Credo in Te, Gesù","Gesù Cristo, Jesus Christ's ministry, exaltation, fede, gioia, grazia, lode, perseverare fino alla fine, testimonianza, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/66/4f/664f137e51160be4b269511dcf7c9f75e23b614a/i_believe_in_christ_accompaniment_eng.mp3
81,Vive il Redentor,"Gesù Cristo, fede, lode, pace, rendere il culto, speranza, testimonianza, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/08/65/08659b501e47652af63a7cf1ebe9bf7b2a39135b/my_redeemer_lives_accompaniment_eng.mp3
82,Io so che vive il Redentor,"Gesù Cristo, amici, amore, conforto, esempio, fede, gioia, grazia, guida, lode, misericordia, rendere il culto, speranza, testimonianza",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-1360-i-know-that-my-redeemer-lives-instrumental-192k-eng.mp3
83,Testimonianza,"Spirito Santo, gratitudine, testimonianza",Preghiera e supplica,https://assets.churchofjesuschrist.org/fc/e4/fce420a6678ffacb8c9e54adf29dec6b730a96c7/testimony_accompaniment_eng.mp3
84,Hai lasciato all’alba il sonno,"Gesù Cristo, conforto, gratitudine, grazia, pace, perdono, preghiera, prove, speranza",Preghiera e supplica,https://media2.ldscdn.org/assets/music/hymns/2001-01-1400-did-you-think-to-pray-instrumental-192k-eng.mp3
85,"Gesù, se sol io penso a Te","Gesù Cristo, amore, conforto, gentilezza, gioia, grazia, lode, misericordia, pace, speranza, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/6f/a3/6fa311479b1ef8abf25def6fd0c08bad0bb92d3c/jesus_the_very_thought_of_thee_accompaniment_eng.mp3
86,È dolce l’ora del pregar,"Padre Celeste, conforto, fede, grazia, pace, preghiera, speranza, tentazione",Preghiera e supplica,https://assets.churchofjesuschrist.org/59/26/5926401ea66e3b23dd8290ce15a48ed5f86c589d/sweet_hour_of_prayer_accompaniment_eng.mp3
87,Scenda in noi lo Spirto Tuo,"Spirito Santo, arbitrio, dignità, guida, insegnamento",Preghiera e supplica,https://assets.churchofjesuschrist.org/7f/4f/7f4f436911f66fc017f9cc7b945f12856c561b95/let_the_holy_spirit_guide_accompaniment_eng.mp3
88,C’è un’ora dolce e cheta,"Padre Celeste, fede, preghiera, unità",Preghiera e supplica,https://assets.churchofjesuschrist.org/fe/fc/fefcf90d1268387877f270b26144fc91a5b6415a/secret_prayer_accompaniment_eng.mp3
89,Desio dell’alma,"Gesù Cristo, pentimento, preghiera",Preghiera e supplica,https://assets.churchofjesuschrist.org/7b/fc/7bfc142f5126cb0f1d0c1b0c6673f0037ef1a662/la_oracion_del_alma_esmusica_solo.mp3
90,Oggi è il giorno del Signor,"giorno del Signore, pentimento, sacramento",Preghiera e supplica,https://assets.churchofjesuschrist.org/60/de/60de9fa9d3a08921626faccbb57ff794c9109cb9/gently_raise_the_sacred_strain_accompaniment_eng.mp3
91,Dolce è il lavoro del Signor,"Gesù Cristo, Vangelo, amore, gioia, giorno del Signore, gratitudine, grazia, lode, musica, verità, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/af/b6/afb61cf1e1bf632a0d07eb506b5512226ac65035/sweet_is_the_work_accompaniment_eng.mp3
92,O gentile e giusto Padre,"Padre Celeste, giorno del Signore, guida, rendere il culto, riverenza",Preghiera e supplica,https://assets.churchofjesuschrist.org/82/44/8244aa91dcabe8d33de25ea9467f2a218059ec6a/nuestro_bondadoso_padremusica_solo.mp3
93,La rugiada del mattino,"rivelazione, riverenza, umiltà",Preghiera e supplica,https://assets.churchofjesuschrist.org/c2/dc/c2dcbeb0fd99fb4d1c05c2cb10da3d53af8fc400/as_the_dew_from_heaven_distilling_accompaniment_eng.mp3
94,Fino al giorno in cui ci rivedrem,"amore, conforto, grazia, piano di salvezza",Preghiera e supplica,https://assets.churchofjesuschrist.org/82/12/821282e202f5b2b4e6a0c717a3994c8c32d11944/god_be_with_you_till_we_meet_again_accompaniment_eng.mp3
95,Dolcemente cala il sol,"chiusura, preghiera",Preghiera e supplica,https://assets.churchofjesuschrist.org/0a/7d/0a7d0534217df9c2b9e50e08d1e513aead09c9b3/softly_now_the_light_of_day_accompaniment_eng.mp3
96,"Or congedaci, Signore","Vangelo, amore, fede, gioia, gratitudine, grazia, pace, preghiera, salvation, vita eterna",Preghiera e supplica,https://assets.churchofjesuschrist.org/22/24/2224e62f375bdea6369477aafb2a6aa12e1f405c/lord_dismiss_us_with_thy_blessing_accompaniment_eng.mp3
97,Muore questo giorno,"Gesù Cristo, conforto, grazia, pace, preghiera",Preghiera e supplica,https://assets.churchofjesuschrist.org/ea/dc/eadcfc942ba9343d979b8cb0019e27f1636b33e8/now_the_day_is_over_accompaniment_eng.mp3
98,Prima di lasciarci,"chiusura, lode, musica",Preghiera e supplica,https://assets.churchofjesuschrist.org/11/91/11919072cf230a5199ad15e332302ed19a3a82b5/sing_we_now_at_parting_accompaniment_eng.mp3
99,Or che stiamo per andar,"chiusura, dignità, fede, giovani, guida, obbedienza, servizio, umiltà",Preghiera e supplica,https://assets.churchofjesuschrist.org/00/a3/00a3e7b277529a39006d62d6e75a47aae54ad404/lord_we_ask_thee_ere_we_part_accompaniment_eng.mp3
100,"Signore, resta qui con me","Gesù Cristo, Joseph Smith, Scritture, amore, battesimo, conforto, famiglia, fede, grazia, opera missionaria, pace, preghiera, prove, sacerdozio, templi",Preghiera e supplica,https://assets.churchofjesuschrist.org/8f/0d/8f0d71c5800f3667d4a487fe677df690514d0e64/abide_with_me_tis_eventide_accompaniment_eng.mp3
101,Il dì declina,"Gesù Cristo, conforto, fede, grazia, guida, preghiera, prove",Preghiera e supplica,https://assets.churchofjesuschrist.org/92/07/92073132dcfb91481fd4894a8314df81929e65c3/abide_with_me_accompaniment_eng.mp3
102,"Umilmente, Salvatore","Espiazione di Gesù Cristo, Gesù Cristo, Spirito Santo, amore, dignità, giorno del Signore, impegno, pentimento, perdono, preghiera, rendere il culto, sacramento, umiltà, vita eterna",Sacramento,https://assets.churchofjesuschrist.org/a5/9f/a59f75fb10543d7331c53c271a5f624a12e9a513/in_humility_our_savior_accompaniment_eng.mp3
103,"Padre nostro, ascoltaci","Gesù Cristo, Padre Celeste, Spirito Santo, amore, grazia, pentimento, preghiera, sacramento",Sacramento,https://media2.ldscdn.org/assets/music/hymns/2001-01-1700-god-our-father-hear-us-pray-instrumental-192k-eng.mp3
104,"O Dio, eterno Padre","Gesù Cristo, Padre Celeste, piano di salvezza, preghiera, sacramento",Sacramento,https://assets.churchofjesuschrist.org/ed/7d/ed7dfd10cac5f2a03697e484489f3d1469c29d86/o_god_the_eternal_father_accompaniment_eng.mp3
105,Iddio ebbe carità,"Espiazione di Gesù Cristo, Gesù Cristo, amore, esempio, grazia, lode, misericordia, obbedienza, piano di salvezza, sacramento, sacrificio, saggezza",Sacramento,https://assets.churchofjesuschrist.org/0b/1a/0b1a8d0d81927964b501261c21bcfaaa0c273c13/how_great_the_wisdom_and_the_love_accompaniment_eng.mp3
106,Cantiamo insieme il grande amor,"Espiazione di Gesù Cristo, Gesù Cristo, amore, fede, giorno del Signore, lode, piano di salvezza, sacramento",Sacramento,https://assets.churchofjesuschrist.org/cc/f5/ccf5ea24ccb1724d96624c1709c92245fb5ad662/tis_sweet_to_sing_the_matchless_love_hancock_accompaniment_eng.mp3
107,Con canti e lodi inneggerem,"Gesù Cristo, sacramento",Sacramento,https://assets.churchofjesuschrist.org/29/e7/29e759288b4de65f563a70ae81d527190b7ecb12/well_sing_all_hail_to_jesus_name_accompaniment_eng.mp3
108,Riverentemente or,"Gesù Cristo, dignità, grazia, misericordia, perdono, riverenza, sacramento",Sacramento,https://assets.churchofjesuschrist.org/fd/5c/fd5caafdeddbfcf4110a44cf8f041b31c996ec80/mansos_reverentes_hoymusica_solo.mp3
109,In cima al Calvario,"Gesù Cristo, sacramento",Sacramento,https://assets.churchofjesuschrist.org/35/df/35dfb8ba7108beee9d513dbf0f34f3bc3e94d4ba/upon_the_cross_of_calvary_accompaniment_eng.mp3
110,"Cristo di Nazaret, Re, Salvator","Gesù Cristo, sacramento",Sacramento,https://assets.churchofjesuschrist.org/d4/df/d4df31af9543a00a042b8318f5252d92d2eb3cf7/jesus_of_nazareth_savior_and_king_accompaniment_eng.mp3
